filename,tile,domain,year,I0,J0,I1,J1,lat_sw,lon_sw,lat_se,lon_se,lat_nw,lon_nw,lat_ne,lon_ne,url
wrfout_d02_1209_2019.nc,1209,d02,2019,122,92,131,101,50.93727494,-128.75807570,50.97625065,-128.19174958,51.29384995,-128.82275008,51.33317471,-128.25185013,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1209/wrfout_d02_1209_2019.nc
wrfout_d02_1210_2019.nc,1210,d02,2019,122,102,131,111,51.29384995,-128.82275008,51.33317471,-128.25185013,51.65055085,-128.88850403,51.69020081,-128.31292723,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1210/wrfout_d02_1210_2019.nc
wrfout_d02_1211_2019.nc,1211,d02,2019,122,112,131,121,51.65055085,-128.88850403,51.69020081,-128.31292723,52.00739956,-128.95532990,52.04737472,-128.37499998,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1211/wrfout_d02_1211_2019.nc
wrfout_d02_1212_2019.nc,1212,d02,2019,122,122,131,131,52.00739956,-128.95532990,52.04737472,-128.37499998,52.36427593,-129.02322770,52.40460014,-128.43814850,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1212/wrfout_d02_1212_2019.nc
wrfout_d02_1213_2019.nc,1213,d02,2019,122,132,131,141,52.36427593,-129.02322770,52.40460014,-128.43814850,52.72122574,-129.09232332,52.76192570,-128.50237275,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1213/wrfout_d02_1213_2019.nc
wrfout_d02_1214_2019.nc,1214,d02,2019,122,142,131,151,52.72122574,-129.09232332,52.76192570,-128.50237275,53.07820034,-129.16259768,53.11925030,-128.56767272,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1214/wrfout_d02_1214_2019.nc
wrfout_d02_1215_2019.nc,1215,d02,2019,122,152,131,161,53.07820034,-129.16259768,53.11925030,-128.56767272,53.43524933,-129.23405075,53.47662449,-128.63407515,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1215/wrfout_d02_1215_2019.nc
wrfout_d02_1216_2019.nc,1216,d02,2019,122,162,131,171,53.43524933,-129.23405075,53.47662449,-128.63407515,53.79229927,-129.30677795,53.83407402,-128.70164870,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1216/wrfout_d02_1216_2019.nc
wrfout_d02_1217_2019.nc,1217,d02,2019,122,172,131,181,53.79229927,-129.30677795,53.83407402,-128.70164870,54.14935017,-129.38075258,54.19149971,-128.77040103,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1217/wrfout_d02_1217_2019.nc
wrfout_d02_1218_2019.nc,1218,d02,2019,122,182,131,191,54.14935017,-129.38075258,54.19149971,-128.77040103,54.50642490,-129.45600130,54.54892444,-128.84037782,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1218/wrfout_d02_1218_2019.nc
wrfout_d02_1219_2019.nc,1219,d02,2019,122,192,131,201,54.50642490,-129.45600130,54.54892444,-128.84037782,54.86342526,-129.53260040,54.90632439,-128.91162490,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1219/wrfout_d02_1219_2019.nc
wrfout_d02_1220_2019.nc,1220,d02,2019,122,202,131,211,54.86342526,-129.53260040,54.90632439,-128.91162490,55.22044945,-129.61059952,55.26372433,-128.98412323,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1220/wrfout_d02_1220_2019.nc
wrfout_d02_1221_2019.nc,1221,d02,2019,122,212,131,221,55.22044945,-129.61059952,55.26372433,-128.98412323,55.57737446,-129.69002535,55.62104988,-129.05792235,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1221/wrfout_d02_1221_2019.nc
wrfout_d02_1222_2019.nc,1222,d02,2019,122,222,131,231,55.57737446,-129.69002535,55.62104988,-129.05792235,55.93425083,-129.77087785,55.97830010,-129.13307570,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1222/wrfout_d02_1222_2019.nc
wrfout_d02_1223_2019.nc,1223,d02,2019,122,232,131,241,55.93425083,-129.77087785,55.97830010,-129.13307570,56.29102516,-129.85320283,56.33550072,-129.20962905,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1223/wrfout_d02_1223_2019.nc
wrfout_d02_1224_2019.nc,1224,d02,2019,122,242,131,251,56.29102516,-129.85320283,56.33550072,-129.20962905,56.64770031,-129.93707657,56.69257546,-129.28762818,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1224/wrfout_d02_1224_2019.nc
wrfout_d02_1225_2019.nc,1225,d02,2019,122,252,131,261,56.64770031,-129.93707657,56.69257546,-129.28762818,57.00427532,-130.02252580,57.04957485,-129.36707690,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1225/wrfout_d02_1225_2019.nc
wrfout_d02_1226_2019.nc,1226,d02,2019,122,262,131,271,57.00427532,-130.02252580,57.04957485,-129.36707690,57.36075020,-130.10960008,57.40642452,-129.44800187,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1226/wrfout_d02_1226_2019.nc
wrfout_d02_1227_2019.nc,1227,d02,2019,122,272,131,281,57.36075020,-130.10960008,57.40642452,-129.44800187,57.71702480,-130.19832610,57.76315022,-129.53050232,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1227/wrfout_d02_1227_2019.nc
wrfout_d02_1228_2019.nc,1228,d02,2019,122,282,131,291,57.71702480,-130.19832610,57.76315022,-129.53050232,58.07314968,-130.28877637,58.11972427,-129.61462403,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1228/wrfout_d02_1228_2019.nc
wrfout_d02_1229_2019.nc,1229,d02,2019,122,292,131,301,58.07314968,-130.28877637,58.11972427,-129.61462403,58.42909909,-130.38100050,58.47609997,-129.70037460,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1229/wrfout_d02_1229_2019.nc
wrfout_d02_1230_2019.nc,1230,d02,2019,122,302,131,311,58.42909909,-130.38100050,58.47609997,-129.70037460,58.78485012,-130.47499848,58.83230019,-129.78777695,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1230/wrfout_d02_1230_2019.nc
wrfout_d02_1231_2019.nc,1231,d02,2019,122,312,131,321,58.78485012,-130.47499848,58.83230019,-129.78777695,59.14039898,-130.57087327,59.18830013,-129.87695313,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1231/wrfout_d02_1231_2019.nc
wrfout_d02_1232_2019.nc,1232,d02,2019,122,322,131,331,59.14039898,-130.57087327,59.18830013,-129.87695313,59.49567509,-130.66867447,59.54404926,-129.96792603,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1232/wrfout_d02_1232_2019.nc
wrfout_d02_1233_2019.nc,1233,d02,2019,122,332,131,341,59.49567509,-130.66867447,59.54404926,-129.96792603,59.85074901,-130.76845170,59.89954948,-130.06072618,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1233/wrfout_d02_1233_2019.nc
wrfout_d02_1234_2019.nc,1234,d02,2019,122,342,131,351,59.85074901,-130.76845170,59.89954948,-130.06072618,60.20555020,-130.87030030,60.25482464,-130.15545275,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1234/wrfout_d02_1234_2019.nc
wrfout_d02_1235_2019.nc,1235,d02,2019,122,352,131,361,60.20555020,-130.87030030,60.25482464,-130.15545275,60.56005001,-130.97424697,60.60982418,-130.25212480,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1235/wrfout_d02_1235_2019.nc
wrfout_d02_1236_2019.nc,1236,d02,2019,122,362,131,371,60.56005001,-130.97424697,60.60982418,-130.25212480,60.93978310,-131.06918332,60.98950068,-130.34044900,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1236/wrfout_d02_1236_2019.nc
wrfout_d02_1237_2019.nc,1237,d02,2019,122,372,131,373,60.93978310,-131.06918332,60.98950068,-130.34044900,60.93978310,-131.06918332,60.98950068,-130.34044900,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1237/wrfout_d02_1237_2019.nc
wrfout_d02_1302_2019.nc,1302,d02,2019,132,22,141,31,48.50189972,-127.77259830,48.51885033,-127.28459935,48.84390004,-127.84280143,48.87185001,-127.30962375,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1302/wrfout_d02_1302_2019.nc
