filename,tile,domain,year,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url,,,,,,,
wrfout_d02_0415_2019.nc,415,d02,2019,42,152,51,161,53.04000092,-133.4181976,52.6631012,-133.8477936,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0415/wrfout_d02_0415_2019.nc,,,,,,,
wrfout_d02_0416_2019.nc,416,d02,2019,42,162,51,171,53.39379883,-133.526001,53.01639938,-133.9582062,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0416/wrfout_d02_0416_2019.nc,,,,,,,
wrfout_d02_0417_2019.nc,417,d02,2019,42,172,51,181,53.74750137,-133.6356049,53.36959839,-134.0704041,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0417/wrfout_d02_0417_2019.nc,,,,,,,
wrfout_d02_0418_2019.nc,418,d02,2019,42,182,51,191,54.1012001,-133.746994,53.72280121,-134.1846008,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0418/wrfout_d02_0418_2019.nc,,,,,,,
wrfout_d02_0419_2019.nc,419,d02,2019,42,192,51,201,54.45479965,-133.8605042,54.07590103,-134.3007965,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0419/wrfout_d02_0419_2019.nc,,,,,,,
wrfout_d02_0420_2019.nc,420,d02,2019,42,202,51,211,54.80830002,-133.9759064,54.42900085,-134.4188995,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0420/wrfout_d02_0420_2019.nc,,,,,,,
wrfout_d02_0421_2019.nc,421,d02,2019,42,212,51,221,55.1617012,-134.093399,54.7818985,-134.5391998,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0421/wrfout_d02_0421_2019.nc,,,,,,,
wrfout_d02_0422_2019.nc,422,d02,2019,42,222,51,231,55.51499939,-134.2129059,55.13479996,-134.661499,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0422/wrfout_d02_0422_2019.nc,,,,,,,
wrfout_d02_0423_2019.nc,423,d02,2019,42,232,51,241,55.86819839,-134.3345947,55.48749924,-134.7861023,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0423/wrfout_d02_0423_2019.nc,,,,,,,
wrfout_d02_0424_2019.nc,424,d02,2019,42,242,51,251,56.22119904,-134.4586029,55.84009933,-134.9129028,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0424/wrfout_d02_0424_2019.nc,,,,,,,
wrfout_d02_0425_2019.nc,425,d02,2019,42,252,51,261,56.57400131,-134.5847931,56.19250107,-135.0420074,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0425/wrfout_d02_0425_2019.nc,,,,,,,
wrfout_d02_0426_2019.nc,426,d02,2019,42,262,51,271,56.92670059,-134.7133026,56.5447998,-135.1734009,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0426/wrfout_d02_0426_2019.nc,,,,,,,
